trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
9900287264,Annual Membership (Austin B-cycle),447,29/10/2014 08:12:00,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,5
9900287291,24-Hour Kiosk (Austin B-cycle),894,29/10/2014 10:12:00,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,0
9900287293,24-Hour Kiosk (Austin B-cycle),996,29/10/2014 10:12:00,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,6
9900287294,24-Hour Kiosk (Austin B-cycle),894,29/10/2014 10:12:00,2541,State Capitol @ 14th & Colorado,2541,State Capitol @ 14th & Colorado,0
9900287351,24-Hour Kiosk (Austin B-cycle),690,29/10/2014 12:12:00,2712,Toomey Rd @ South Lamar,2540,17th & Guadalupe,23
9900287378,Annual Membership (Austin B-cycle),827,29/10/2014 13:12:00,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,4
9900287414,Founding Member (Austin B-cycle),864,29/10/2014 15:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,3
9900287606,Annual Membership (Austin B-cycle),513,29/10/2014 21:12:00,2536,Waller & 6th St.,2544,East 6th & Pedernales St.,10
9900287861,24-Hour Kiosk (Austin B-cycle),965,30/10/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,59
9900287864,24-Hour Kiosk (Austin B-cycle),983,30/10/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,58
9900289130,Local365,132,01/10/2015 08:12:57,2536,Waller & 6th St.,1007,Lavaca & 6th,0
9900288008,24-Hour Kiosk (Austin B-cycle),969,30/10/2014 19:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,82
9900288048,24-Hour Kiosk (Austin B-cycle),160,31/10/2014 00:12:00,2541,State Capitol @ 14th & Colorado,2540,17th & Guadalupe,4
9900288149,Founding Member (Austin B-cycle),429,31/10/2014 11:12:00,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,16
9900288154,Annual Membership (Austin B-cycle),610,31/10/2014 12:12:00,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,3
9900290433,Local365,453,02/10/2015 21:12:42,1006,Zilker Park West,1008,Nueces @ 3rd,15
9900288210,Annual Membership (Austin B-cycle),223,31/10/2014 13:12:00,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,23
9900288274,24-Hour Kiosk (Austin B-cycle),198,31/10/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,76
9900288276,24-Hour Kiosk (Austin B-cycle),327,31/10/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,75
9900288278,24-Hour Kiosk (Austin B-cycle),41,31/10/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,74
9900288279,24-Hour Kiosk (Austin B-cycle),277,31/10/2014 14:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,73
9900288288,Annual Membership (Austin B-cycle),197,31/10/2014 14:12:00,2823,Capital Metro HQ - East 5th at Broadway,2544,East 6th & Pedernales St.,4
9900288333,Annual Membership (Austin B-cycle),158,31/10/2014 15:12:00,2712,Toomey Rd @ South Lamar,2712,Toomey Rd @ South Lamar,1
9900288334,24-Hour Kiosk (Austin B-cycle),410,31/10/2014 15:12:00,2536,Waller & 6th St.,2544,East 6th & Pedernales St.,11
9900288335,24-Hour Kiosk (Austin B-cycle),329,31/10/2014 15:12:00,2536,Waller & 6th St.,2544,East 6th & Pedernales St.,12
9900288343,Annual Membership (Austin B-cycle),610,31/10/2014 15:12:00,2823,Capital Metro HQ - East 5th at Broadway,2823,Capital Metro HQ - East 5th at Broadway,4
9900288379,Annual Membership (Austin B-cycle),223,31/10/2014 16:12:00,2823,Capital Metro HQ - East 5th at Broadway,2536,Waller & 6th St.,10
9900288445,Annual Membership (Austin B-cycle),223,31/10/2014 17:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,1
9900288446,Annual Membership (Austin B-cycle),544,31/10/2014 17:12:00,2541,State Capitol @ 14th & Colorado,2823,Capital Metro HQ - East 5th at Broadway,20
9900288447,Annual Membership (Austin B-cycle),223,31/10/2014 17:12:00,2536,Waller & 6th St.,2536,Waller & 6th St.,14
9900288594,Weekender,822,01/10/2015 19:12:12,2568,East 11th St. at Victory Grill,2536,Waller & 6th St.,3
9900288650,Walk Up,285,01/10/2015 18:12:43,2564,5th & San Marcos,2564,5th & San Marcos,85
9900288695,Weekender,202,01/10/2015 08:12:20,2568,East 11th St. at Victory Grill,2536,Waller & 6th St.,11
9900288747,Walk Up,275,01/10/2015 17:12:31,2564,5th & San Marcos,2536,Waller & 6th St.,195
9900288777,Weekender,854,01/10/2015 16:12:17,3291,11th & San Jacinto,1008,Nueces @ 3rd,20
9900288825,Walk Up,529,01/10/2015 18:12:37,2564,5th & San Marcos,2564,5th & San Marcos,84
9900288832,Weekender,202,01/10/2015 21:12:01,2536,Waller & 6th St.,2568,East 11th St. at Victory Grill,4
